personId,date,exercise_activeDuration_in_ms,exercise_steps,exercise_calories,exercise_elevationGain,exercise_averageHeartRate,sleep_duration_in_ms,sleep_minutesAsleep,sleep_minutesAwake,sleep_efficiency
p03,2020-01-07,1280000,2211.0,193,15.24,111.0,27960000,415,51,100.0
p03,2020-01-08,1741000,2658.0,232,0.0,101.0,29460000,425,66,89.5
p03,2020-01-10,2458000,3068.0,284,12.19,96.0,35520000,516,76,95.0
p03,2020-01-13,2918000,4771.0,459,42.67,112.5,52440000,776,98,97.0
p03,2020-01-14,1741000,2590.0,252,12.19,111.0,26460000,401,40,96.0
p03,2020-01-15,1484000,2524.0,234,6.1,114.0,25320000,383,39,96.0
p03,2020-01-16,1485000,2362.0,222,6.1,109.0,26400000,388,52,95.0
p03,2020-01-17,1689000,2753.0,250,6.1,110.0,29880000,431,67,95.0
p03,2020-01-20,3788000,5506.0,573,45.72,110.0,23220000,325,62,97.0
p03,2020-01-22,2765000,4443.0,444,30.48,114.5,23280000,343,45,97.0
p03,2020-01-23,1434000,2434.0,226,12.19,110.0,25500000,364,61,93.0
p03,2020-01-25,1076000,1331.0,138,15.24,95.0,13860000,200,31,92.0
p03,2020-01-29,2253000,3332.0,351,12.19,112.0,27120000,399,53,98.0
p03,2020-01-30,2611000,3250.0,412,24.38,114.0,21960000,309,57,95.0
p03,2020-01-31,4762000,6372.0,655,57.91,111.0,22680000,337,41,97.0
p03,2020-02-03,2253000,3459.0,325,21.34,108.0,31020000,405,112,95.0
p03,2020-02-04,1537000,2618.0,242,6.1,115.0,27480000,386,72,94.0
p03,2020-02-05,3739000,5412.0,514,51.82,104.0,29400000,427,63,96.0
p03,2020-02-06,3461000,6894.0,795,7.92,144.0,32220000,476,61,96.0
p03,2020-02-07,3892000,5689.0,523,33.53,105.67,26220000,367,70,96.0
p03,2020-02-10,1536000,2636.0,242,6.1,116.0,26820000,386,61,96.0
p03,2020-02-11,1536000,2498.0,218,6.1,108.0,28800000,399,81,95.0
p03,2020-02-12,2458000,3890.0,333,33.53,100.5,46800000,670,110,96.0
p03,2020-02-13,1946000,1997.0,269,24.38,111.0,27240000,396,58,94.0
p03,2020-02-18,1331000,2256.0,202,9.14,112.0,25200000,382,38,96.0
p03,2020-02-19,1331000,2162.0,197,6.1,112.0,27000000,401,49,98.0
p03,2020-02-21,1741000,2921.0,296,9.14,116.0,24120000,344,58,94.0
p03,2020-02-27,1536000,2443.0,280,9.14,123.0,23580000,355,38,97.0
p03,2020-03-06,1792000,1723.0,188,15.24,94.0,30540000,448,61,96.0
p03,2020-03-09,1332000,2229.0,217,6.1,114.0,25320000,367,55,95.0
p04,2019-11-07,2778000,2663.0,215,263.35,114.0,29340000,416,73,94.0
